customer_id,system_loan_id,loan_number,approved_date,creation_date,loan_amount,loan_total_due,loan_term_days,loan_default,birth_date,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,total_loans_number,avg_loan_amount,max_loan_amount,avg_payment_ratio,on_time_ratio,avg_loan_term_days,credit_score,age,approval_time(mins),loan_interest,loan_to_due_ratio,state
8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,2017-07-25 08:22:56,2017-07-25 07:22:47,30000.0,34500.0,30,Good,1972-01-15,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,11.0,18181.81818181818,30000.0,0.8148701864449034,0.7272727272727273,30.0,82.65359541950463,53,60.15,4500.0,0.8695652173913043,Lagos
8a85886e54beabf90154c0a29ae757c0,301965204,2,2017-07-05 17:04:41,2017-07-05 16:04:18,15000.0,17250.0,30,Good,1985-08-23,Savings,3.885298,7.3207003,GT Bank,Permanent,Graduate,1.0,10000.0,10000.0,0.7692307692307693,1.0,30.0,89.69949192837117,40,60.38333333333333,2250.0,0.8695652173913043,Oyo
8a8588f35438fe12015444567666018e,301966580,7,2017-07-06 14:52:57,2017-07-06 13:52:51,20000.0,22250.0,15,Good,1984-09-18,Other,11.1393496,10.2920413,EcoBank,Permanent,None,6.0,10000.0,10000.0,0.8528428093645485,0.8333333333333334,17.5,89.19258554249654,40,60.1,2250.0,0.898876404494382,Gombe
8a85890754145ace015429211b513e16,301999343,3,2017-07-27 19:00:41,2017-07-27 18:00:35,10000.0,11500.0,15,Good,1977-10-10,Savings,3.9857698,7.4917081,First Bank,Permanent,None,2.0,10000.0,10000.0,0.8193979933110368,0.0,22.5,43.16089800437399,47,60.1,1500.0,0.8695652173913043,Oyo
8a858970548359cc0154883481981866,301962360,9,2017-07-03 23:42:45,2017-07-03 22:42:39,40000.0,44000.0,30,Good,1986-09-07,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,8.0,18750.0,30000.0,0.7958952811893989,1.0,37.5,96.01240396882055,38,60.1,4000.0,0.9090909090909091,Abuja Federal Capital Territory
8a8589f35451855401546b0738c42524,301986516,8,2017-07-19 21:46:24,2017-07-19 20:46:18,30000.0,39000.0,60,Good,1982-08-08,Savings,3.4179771,6.4411578,GT Bank,Permanent,None,7.0,14285.714285714286,20000.0,0.7928446103716212,0.8571428571428571,30.0,88.60115096772279,43,60.1,9000.0,0.7692307692307693,Lagos
8a858e095c59b91b015c5e5cea3719bc,301972027,3,2017-07-10 19:25:33,2017-07-10 18:25:28,10000.0,13000.0,30,Good,1989-05-29,Savings,3.2594445,6.5570112,GT Bank,Permanent,None,2.0,10000.0,10000.0,0.8193979933110368,1.0,22.5,94.30197027444235,36,60.083333333333336,3000.0,0.7692307692307693,Lagos
8a858e1158dc4d830158f7bde4f47ea7,301994428,10,2017-07-24 23:42:27,2017-07-24 22:42:21,30000.0,34500.0,30,Good,1987-09-20,Savings,6.1780556,5.4257996,First Bank,Permanent,None,9.0,20000.0,30000.0,0.8651560905300468,1.0,23.333333333333332,98.14198305613654,37,60.1,4500.0,0.8695652173913043,Delta
8a858e185b4923b4015b4ae48d28646a,301996687,4,2017-07-26 10:53:05,2017-07-26 09:52:57,10000.0,11500.0,15,Good,1987-06-09,Savings,3.3965242,6.6279429,GT Bank,Permanent,None,3.0,10000.0,10000.0,0.8695652173913043,0.6666666666666666,15.0,80.2626116607027,38,60.13333333333333,1500.0,0.8695652173913043,Lagos
8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,2017-07-17 13:48:42,2017-07-17 12:48:35,10000.0,11500.0,15,Good,1984-12-10,Savings,3.2858723,6.5824439,Access Bank,Unemployed,None,1.0,10000.0,10000.0,0.8695652173913043,1.0,15.0,92.77821868710438,40,60.11666666666667,1500.0,0.8695652173913043,Lagos
8a858e245c214660015c2ba8187976f7,301962365,2,2017-07-03 23:49:10,2017-07-03 22:49:03,10000.0,13000.0,30,Good,1983-06-03,Savings,7.1233193,4.8834997,EcoBank,Permanent,None,1.0,10000.0,10000.0,0.8695652173913043,1.0,15.0,92.77821868710438,42,60.11666666666667,3000.0,0.7692307692307693,Rivers
8a858e345bd96da8015be6b9f8bc10c7,301960371,3,2017-07-02 21:59:20,2017-07-02 20:59:14,10000.0,13000.0,30,Bad,1988-04-28,Savings,3.8210848,7.3326277,GT Bank,Permanent,None,2.0,10000.0,10000.0,0.8193979933110368,0.5,22.5,68.73143413940817,37,60.1,3000.0,0.7692307692307693,Oyo
8a858e395cb1d4d9015cb236b4811cbc,301999914,2,2017-07-28 07:15:32,2017-07-28 06:15:25,10000.0,11500.0,15,Good,1965-06-14,Savings,3.1727935,6.6832653,First Bank,Permanent,None,1.0,10000.0,10000.0,0.7692307692307693,1.0,30.0,89.69949192837117,60,60.11666666666667,1500.0,0.8695652173913043,Ogun
8a858e4456ced8470156dc8f1f4038d3,301995555,11,2017-07-25 16:13:30,2017-07-25 15:13:23,40000.0,44000.0,30,Good,1977-07-21,Other,3.3022556,6.636865,UBA,Permanent,None,10.0,24000.0,40000.0,0.8527311012751178,0.9,28.5,92.64821499916263,48,60.11666666666667,4000.0,0.9090909090909091,Lagos
8a858e5357d823010157d932443d28a3,301983540,13,2017-07-18 11:00:05,2017-07-18 09:59:56,40000.0,44000.0,30,Good,1979-06-30,Other,3.3526543,6.456209,First Bank,Self-Employed,None,12.0,21666.666666666668,40000.0,0.8760489704209665,1.0,22.5,98.47862571527531,46,60.15,4000.0,0.9090909090909091,Lagos
8a858e5b5bd99460015bdf725e143ff4,301967889,3,2017-07-07 12:20:59,2017-07-07 11:20:50,10000.0,13000.0,30,Good,1984-12-23,Savings,3.70037,7.3943183,Access Bank,Permanent,None,2.0,10000.0,10000.0,0.7692307692307693,1.0,30.0,92.76260689507573,40,60.15,3000.0,0.7692307692307693,Oyo
8a858e645755e62201576b58e3522081,301958834,3,2017-07-01 11:44:57,2017-07-01 10:44:51,10000.0,11500.0,15,Good,1981-09-16,Other,3.3718018,6.5169394,UBA,Permanent,None,2.0,10000.0,10000.0,0.8193979933110368,0.5,22.5,68.73143413940817,43,60.1,1500.0,0.8695652173913043,Lagos
